entity_type;entity_id;entity_name;reason;solved;anonym
outcome;71202;Station invoice Sudão;Applications Roads Peixe;false;false
outcome;93448;Director;maximized Senior;true;false
symptom;35861;withdrawal;scalable Ohio projection;true;false
symptom;9294;Algodão Buckinghamshire;Fresco monitor;true;true
outcome;32736;true;bypass;false;false
active-substance;82896;Bedfordshire efficient;deposit;false;false
active-substance;83114;Networked Madeira navigate;dynamic seamless;false;false
outcome;61990;Investment Dollar;attitude HTTP;false;true
symptom;76252;connect;AI;false;false
symptom;8638;Geórgia;Nebraska;false;false
