id;name;dosage;form;description
1;salmão relationships;face;connecting Idaho customer;Technician alarm
2;fresh-thinking azul;Arkansas Casa XSS;haptic executive website;Direct
3;Jogos Dynamic Beleza;Usability deposit;Fresco plug-and-play;payment Developer hour
4;Plástico West enable;Program;Rato Oregon;optical Carro microchip
5;e;Avon;Vermont circuit;PNG Networked
6;B2B;iterate Minnesota e-tailers;Iranian Investor;function content Buckinghamshire
7;e-services;Security;Forge ouro;New contextually-based
8;scalable programming embrace;Coordinator bronzeado;Carro Tennessee;database Croatian
9;Account Money;out-of-the-box deposit transit;Developer;Dinar withdrawal Director
10;quantifying plug-and-play Rústico;alarm Data Metal;markets Avon;dot-com
