id;name;description;administration_id
1;Home Loan Account;didactic workforce;1
2;Belarus Berkshire;leading-edge cohesive;2
3;pricing structure Toys;Towels;3
4;Accounts Solutions SCSI;Coordinator Solutions Cambridgeshire;4
5;Tasty Metal Chicken Profit-focused haptic;white;5
6;Row matrix Gorgeous Fresh Ball;bypass Ergonomic Steel Soap Chief;6
7;Automotive back up;Credit Card Account Gambia maroon;7
8;microchip Identity Switchable;Refined invoice;8
9;Handcrafted Soft Car SCSI overriding;Cotton Canada;9
10;Idaho Bedfordshire;full-range architectures online;10
