name;dosage;form
Abacavir;20 mg/ml;Solução oral
Abacavir;300 mg;Comprimido revestido por película
Abacavir + Lamivudina;600 mg + 300 mg;Comprimido revestido por película
Abacavir + Lamivudina + Zidovudina;300 mg + 150 mg + 300 mg;Comprimido revestido por película
Abatacept;125 mg/1 ml;Solução injetável em caneta pré-cheia
Abatacept;125 mg/1 ml;Solução injetável em seringa pré-cheia
Abatacept;250 mg;Pó para concentrado para solução para perfusão
Abciximab;10 mg/5 ml;Solução injetável
Abemaciclib;100 mg;Comprimido revestido por película
Abemaciclib;150 mg;Comprimido revestido por película
Abemaciclib;50 mg;Comprimido revestido por película
Abiraterona;250 mg;Comprimido
Abiraterona;500 mg;Comprimido revestido por película
Acalabrutinib;100 mg;Cápsula
Acamprosato;333 mg;Comprimido gastrorresistente
Acarbose;100 mg;Comprimido
Acarbose;50 mg;Comprimido
Aceclofenac;100 mg;Comprimido revestido por película
Aceclofenac;100 mg;Pó para suspensão oral
Aceclofenac;15 mg/g;Creme
Aceglumato de deanol + Heptaminol;230 mg/10 ml + 180 mg/10 ml;Solução oral
Acemetacina;60 mg;Cápsula
Acemetacina;90 mg;Cápsula de libertação prolongada
Acenocumarol;4 mg;Comprimido
Aceponato de metilprednisolona;1 mg/g;Creme
Aceponato de metilprednisolona;1 mg/g;Emulsão cutânea
Aceponato de metilprednisolona;1 mg/g;Pomada
Aceponato de metilprednisolona;1 mg/ml;Solução cutânea
Acetato de cálcio + Carbonato de magnésio;435 mg + 235 mg;Comprimido revestido por película
Acetato de eslicarbazepina;200 mg;Comprimido
Acetato de eslicarbazepina;400 mg;Comprimido
Acetato de eslicarbazepina;50 mg/ml;Suspensão oral
Acetato de eslicarbazepina;600 mg;Comprimido
Acetato de eslicarbazepina;800 mg;Comprimido
Acetato de glatirâmero;20 mg/1 ml;Solução injetável
Acetato de glatirâmero;20 mg/1 ml;Solução injetável em seringa pré-cheia
Acetato de glatirâmero;20 mg/ml;Solução injetável em seringa pré-cheia
Acetato de glatirâmero;40 mg/ml;Solução injetável em seringa pré-cheia
Acetato de zinco;25 mg;Cápsula
Acetato de zinco;50 mg;Cápsula
Acetazolamida;250 mg;Comprimido
Acetilcisteína;20 mg/ml;Solução oral
Acetilcisteína;200 mg;Comprimido efervescente
Acetilcisteína;200 mg;Granulado para solução oral
Acetilcisteína;200 mg/ml;Concentrado para solução para perfusão
Acetilcisteína;300 mg/3 ml;Solução injetável
Acetilcisteína;40 mg/ml;"Colírio; solução"
Acetilcisteína;40 mg/ml;Solução oral
Acetilcisteína;600 mg;Comprimido efervescente
Acetilcisteína;600 mg;Pó oral em saqueta
Acetilsalicilato de lisina;180 mg;Pó para solução oral
Acetilsalicilato de lisina;1800 mg;Pó para solução oral
