id;name;acronym;purpose;condition;timing;indication;criteria;notice;treatment_id
1;Aço;AI Atum Chapéu;synergize calculating;Business-focused Madeira HTTP;Enterprise-wide TCP;generating Peru system;AI e-commerce visionary;reintermediate deliverables;1
2;salmão Credit;microchip verde;Algodão platforms;Account Seychelles coherent;wireless;Ruanda Congelado;Genérico;methodologies expedite system;2
3;Brook Zimbabué Account;Lustroso;Linda;generating 1080p sticky;alarm scale;Metal Designer channels;harness Manager Assistant;Plástico Aço quantifying;3
4;Account Congelado;monitor compressing;Luxemburgo SSL Marca;Cadeira Crianças;forecast redefine;Product Refinado;Casa;overriding;1
5;ADP Automóveis;24/365 Executive paradigms;Technician optimal disintermediate;disintermediate;Carro Marca Savings;Account alarm;online Dollar Betão;SAS Eslovénia port;2
6;USB;Human Personal;structure Cambridgeshire;convergence;preto;web-readiness Enhanced;Bedfordshire HDD Designer;Card Indiana Mercearia;3
7;Cambridgeshire;Optional Plástico Liaison;uniform Research vermelho;Optional Investment Surinam;compressing;Metal Granito;online;Sapatos Streets Saboroso;1
8;Inverse Illinois Cambridgeshire;Casa Borders Account;e-services parse;Desporto Customer;Optimization;Mountains Pequeno Betão;eyeballs Loan Washington;York;2
9;transmitting Pequeno;program;HTTP;e prata;Betão HTTP;Bebé vortals;systems tangible De-engineered;Inteligente Rato Bola;3
10;Agent Granito;leading;Livros Madeira;withdrawal Ferramentas Rústico;generating;1080p supply-chains expedite;access alarm Artesanal;non-volatile Ergonómico experiences;1
