id;description;score;create_user;create_date;update_user;update_date
1;Springs Agent;3;Myanmar;2020-10-10T04:57:24;Handcrafted Concrete Shirt haptic plum;2020-10-10T11:11:47
2;capacitor magnetic;4;index Unbranded Cotton Table Handmade;2020-10-10T15:30:04;Central Centers;2020-10-10T01:52:44
3;overriding Wooden Garden;0;Cotton California Inverse;2020-10-10T18:51:42;e-tailers project benchmark;2020-10-10T18:49:43
4;definition bi-directional Fantastic Granite Tuna;2;capacitor;2020-10-10T17:55:04;Steel;2020-10-09T22:03:10
5;bifurcated;4;Orchard RSS;2020-10-10T02:38:39;European Unit of Account 17(E.U.A.-17) firewall Incredible Plastic Hat;2020-10-10T02:11:45
6;Slovakia (Slovak Republic) Division Implemented;4;matrix withdrawal turquoise;2020-10-09T20:29:32;XSS Shores invoice;2020-10-10T18:47:25
7;IB Plastic;2;Assurance Kids;2020-10-10T12:37:51;parsing;2020-10-10T00:51:30
8;envisioneer Circles didactic;4;e-services;2020-10-09T19:31:48;innovate;2020-10-09T22:12:27
9;Nevada Shoes SAS;1;reboot Savings Account Concrete;2020-10-10T14:31:31;Avon open system Web;2020-10-10T10:15:35
10;Auto Loan Account input superstructure;2;website Markets;2020-10-09T23:44:57;deposit lime magenta;2020-10-10T06:25:47
