id;description;create_user;create_date;update_user;update_date
1;COM;quantifying Saudi Riyal;2020-10-10T02:55:05;Fantastic Fords Paradigm;2020-10-10T13:10:29
2;deposit;Fantastic Steel Keyboard Fresh compressing;2020-10-10T05:13:09;Utah Director Tasty;2020-10-10T03:13:15
3;Virtual Michigan Buckinghamshire;Canadian Dollar pricing structure;2020-10-09T21:57:51;SAS;2020-10-10T05:14:02
4;B2C markets program;bypassing Ergonomic firewall;2020-10-10T09:34:09;New Leu parsing;2020-10-10T01:15:59
5;Handcrafted;Personal Loan Account system;2020-10-10T14:58:09;quantify SQL Bedfordshire;2020-10-10T03:43:21
6;Balanced dynamic;quantifying Personal Loan Account Mexico;2020-10-10T13:43:02;high-level Tunisian Dinar bandwidth;2020-10-10T12:44:51
7;Saint Helena payment homogeneous;SMTP Florida;2020-10-10T05:49:13;Central;2020-10-10T04:48:02
8;Refined Concrete Sausages;Fantastic Rubber Gloves;2020-10-10T09:44:48;Monaco protocol;2020-10-10T05:54:15
9;Tactics;Fish;2020-10-10T03:31:36;secured line networks;2020-10-09T23:04:50
10;withdrawal parse SSL;ubiquitous invoice Jewelery;2020-10-10T18:55:24;invoice Agent;2020-10-10T02:30:25
